,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
412,P169,Kota Belud,Sabah,Lamsil Amidsor,979,2.3,,IND,5095,Abdul Rahman Dahlan,BN,UMNO,51467,,2.0,,,59.0,39.0,43423,84.4,1109,2.2
413,P169,Kota Belud,Sabah,Kanul Gindol,185,0.4,,IND,5095,Abdul Rahman Dahlan,BN,UMNO,51467,,2.0,,,59.0,39.0,43423,84.4,1109,2.2
414,P169,Kota Belud,Sabah,Abdul Rahman Dahlan,21768,50.1,BN,UMNO,5095,Abdul Rahman Dahlan,BN,UMNO,51467,,2.0,,,59.0,39.0,43423,84.4,1109,2.2
415,P170,Tuaran,Sabah,Wilfred Madius Tangau,20685,50.8,BN,UPKO,5190,Wilfred Bumburing,,IND,48276,,6.0,,,44.0,50.0,40748,84.4,795,1.6
416,P170,Tuaran,Sabah,Wilfred Bumburing,15495,38.0,PR,PKR,5190,Wilfred Bumburing,,IND,48276,,6.0,,,44.0,50.0,40748,84.4,795,1.6
417,P170,Tuaran,Sabah,Erveana Ansari Ali,2264,5.6,,IND,5190,Wilfred Bumburing,,IND,48276,,6.0,,,44.0,50.0,40748,84.4,795,1.6
418,P170,Tuaran,Sabah,Samin Dulin,1509,3.7,,STAR,5190,Wilfred Bumburing,,IND,48276,,6.0,,,44.0,50.0,40748,84.4,795,1.6
419,P171,Sepanggar,Sabah,Jeffrey Kumin,13403,30.9,PR,DAP,9442,Eric Majimbun,,SAPP,53374,,19.0,,,52.0,26.0,43416,81.3,1167,2.2
420,P171,Sepanggar,Sabah,Jumat Idris,22845,52.6,BN,UMNO,9442,Eric Majimbun,,SAPP,53374,,19.0,,,52.0,26.0,43416,81.3,1167,2.2
421,P171,Sepanggar,Sabah,Chin Hon Kiong,4070,9.4,,SAPP,9442,Eric Majimbun,,SAPP,53374,,19.0,,,52.0,26.0,43416,81.3,1167,2.2
422,P171,Sepanggar,Sabah,Daniel John Jambun,1931,4.4,,STAR,9442,Eric Majimbun,,SAPP,53374,,19.0,,,52.0,26.0,43416,81.3,1167,2.2
423,P172,Kota Kinabalu,Sabah,Jimmy Wong Sze Phin,28516,72.2,PR,DAP,18959,Hiew King Chew,PR,DAP,50516,,70.0,,,15.0,13.0,39488,78.2,506,1.0
424,P172,Kota Kinabalu,Sabah,Chin Tek Ming,9557,24.2,BN,PBS,18959,Hiew King Chew,PR,DAP,50516,,70.0,,,15.0,13.0,39488,78.2,506,1.0
425,P172,Kota Kinabalu,Sabah,Liew Hock Leong,909,2.3,,STAR,18959,Hiew King Chew,PR,DAP,50516,,70.0,,,15.0,13.0,39488,78.2,506,1.0
426,P173,Putatan,Sabah,Marcus Mojigoh,17465,58.7,BN,UPKO,9507,Marcus Mojigoh,BN,UPKO,37490,,19.0,,,63.0,15.0,29760,79.4,665,1.8
427,P173,Putatan,Sabah,Awang Ahmad Sah,2604,8.8,,STAR,9507,Marcus Mojigoh,BN,UPKO,37490,,19.0,,,63.0,15.0,29760,79.4,665,1.8
428,P173,Putatan,Sabah,Duli Mari,1068,3.6,,SAPP,9507,Marcus Mojigoh,BN,UPKO,37490,,19.0,,,63.0,15.0,29760,79.4,665,1.8
429,P173,Putatan,Sabah,Joseph Lee Han Kyun,7958,26.7,PR,DAP,9507,Marcus Mojigoh,BN,UPKO,37490,,19.0,,,63.0,15.0,29760,79.4,665,1.8
430,P174,Penampang,Sabah,Melania Annol,1119,3.1,,STAR,10216,Bernard Giluk Dompok,BN,UPKO,44323,,32.0,,,16.0,50.0,36553,82.5,454,1.0
431,P174,Penampang,Sabah,Bernard Giluk Dompok,12382,33.9,BN,UPKO,10216,Bernard Giluk Dompok,BN,UPKO,44323,,32.0,,,16.0,50.0,36553,82.5,454,1.0
432,P174,Penampang,Sabah,Ignatius Dorell Leiking,22598,61.8,PR,PKR,10216,Bernard Giluk Dompok,BN,UPKO,44323,,32.0,,,16.0,50.0,36553,82.5,454,1.0
433,P175,Papar,Sabah,Mohammad Yahya Lampong,10661,32.1,PR,PKR,10535,Rosnah Abdul Rashid Shirlin,BN,UMNO,38771,,9.0,,,60.0,30.0,33194,85.6,499,1.3
434,P175,Papar,Sabah,Balon Mujim,838,2.5,,STAR,10535,Rosnah Abdul Rashid Shirlin,BN,UMNO,38771,,9.0,,,60.0,30.0,33194,85.6,499,1.3
435,P175,Papar,Sabah,Rosnah Abdul Rashid Shirlin,21196,63.9,BN,UMNO,10535,Rosnah Abdul Rashid Shirlin,BN,UMNO,38771,,9.0,,,60.0,30.0,33194,85.6,499,1.3
436,P176,Kimanis,Sabah,Jaafar Ismail,8031,34.7,PR,PKR,5723,Anifah Aman,BN,UMNO,26628,,4.0,,,60.0,34.0,23128,86.9,453,1.7
437,P176,Kimanis,Sabah,Jamil William Core,650,2.8,,SAPP,5723,Anifah Aman,BN,UMNO,26628,,4.0,,,60.0,34.0,23128,86.9,453,1.7
438,P176,Kimanis,Sabah,Lusin Balangon,240,1.0,,STAR,5723,Anifah Aman,BN,UMNO,26628,,4.0,,,60.0,34.0,23128,86.9,453,1.7
439,P176,Kimanis,Sabah,Anifah Aman,13754,59.5,BN,UMNO,5723,Anifah Aman,BN,UMNO,26628,,4.0,,,60.0,34.0,23128,86.9,453,1.7
440,P177,Beaufort,Sabah,Lajim Ukin,12155,46.8,PR,PKR,672,Lajim Ukin,,IND,30097,,8.0,,,61.0,30.0,25949,86.2,559,1.9
441,P177,Beaufort,Sabah,Guan Dee Koh Hoi,409,1.6,,STAR,672,Lajim Ukin,,IND,30097,,8.0,,,61.0,30.0,25949,86.2,559,1.9
