,#,Constituency,State,Candidate,Votes,Votes%,Coalition,Party,Majority,Incumbent,Incumbent_Coalition,Incumbent_Party,Eligible_Voters,Malay_Voters%,Chinese_Voters%,Indian_Voters%,Others_Voters%,Muslim_Bumi_Voters%,Non_Muslim_Bumi_Voters%,Voter_Turnout,Voter_Turnout%,Spoilt_Votes,Spoilt_Votes%
0,P001,Padang Besar,Perlis,Zahidi Zainul Abidin,21473,59.6,BN,UMNO,7426,Azmi Khalid,BN,UMNO,41974,86.0,9.0,,4.0,,,36051,85.9,531,1.3
1,P001,Padang Besar,Perlis,Azamhari Mohamood,14047,39.0,PR,PAS,7426,Azmi Khalid,BN,UMNO,41974,86.0,9.0,,4.0,,,36051,85.9,531,1.3
2,P002,Kangar,Perlis,Shaharuddin Ismail,23343,53.9,BN,UMNO,4037,Mohd Radzi Sheikh Ahmad,BN,UMNO,51207,81.0,16.0,2.0,,,,43316,84.6,667,1.5
3,P002,Kangar,Perlis,Baharuddin Ahmad,19306,44.6,PR,PAS,4037,Mohd Radzi Sheikh Ahmad,BN,UMNO,51207,81.0,16.0,2.0,,,,43316,84.6,667,1.5
4,P003,Arau,Perlis,Shahidan Kassim,19376,50.6,BN,UMNO,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
5,P003,Arau,Perlis,Zainudin Yom,406,1.1,,IND,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
6,P003,Arau,Perlis,Haron Din,18005,47.0,PR,PAS,1371,Ismail Kassim,BN,UMNO,43876,88.0,8.0,,3.0,,,38312,87.3,525,1.2
7,P004,Langkawi,Kedah,Nawawi Ahmad,21407,67.2,BN,UMNO,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
8,P004,Langkawi,Kedah,Marina Hussein,180,0.6,,IND,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
9,P004,Langkawi,Kedah,Ahmad Abdullah,9546,29.9,PR,PKR,11861,Abu Bakar Taib,BN,UMNO,37536,91.0,6.0,2.0,,,,31877,84.9,744,2.0
10,P005,Jerlun,Kedah,Othman Aziz,24161,52.8,BN,UMNO,3270,Mukhriz Mahathir,BN,UMNO,52383,91.0,8.0,,2.0,,,45782,87.4,730,1.4
11,P005,Jerlun,Kedah,Ismail Salleh,20891,45.6,PR,PAS,3270,Mukhriz Mahathir,BN,UMNO,52383,91.0,8.0,,2.0,,,45782,87.4,730,1.4
12,P006,Kubang Pasu,Kedah,Mohd Johari Baharum,33334,58.4,BN,UMNO,10444,Mohd Johari Baharum,BN,UMNO,65550,86.0,9.0,4.0,,,,57058,87.0,834,1.3
13,P006,Kubang Pasu,Kedah,Mohd Jamal Nasir,22890,40.1,PR,PAS,10444,Mohd Johari Baharum,BN,UMNO,65550,86.0,9.0,4.0,,,,57058,87.0,834,1.3
14,P007,Padang Terap,Kedah,Mohd Nasir Zakaria,16212,42.9,PR,PAS,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
15,P007,Padang Terap,Kedah,Muhamad Bazli Abdullah,243,0.6,,IND,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
16,P007,Padang Terap,Kedah,Mahdzir Khalid,20654,54.6,BN,UMNO,4442,Mohd Nasir Zakaria,PR,PAS,41960,92.0,1.0,,6.0,,,37800,90.1,691,1.6
17,P008,Pokok Sena,Kedah,Mahfuz Omar,36198,52.2,PR,PAS,3935,Mahfuz Omar,PR,PAS,80714,80.0,18.0,2.0,,,,69309,85.9,848,1.1
18,P008,Pokok Sena,Kedah,Shahlan Ismail,32263,46.5,BN,UMNO,3935,Mahfuz Omar,PR,PAS,80714,80.0,18.0,2.0,,,,69309,85.9,848,1.1
19,P009,Alor Setar,Kedah,Jawahar Raja Abdul Wahid,257,0.4,,MUPP,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
20,P009,Alor Setar,Kedah,Abdul Fisol Mohd Isa,3530,6.1,,BERJASA,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
21,P009,Alor Setar,Kedah,Chor Chee Heung,25491,44.2,BN,MCA,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
22,P009,Alor Setar,Kedah,Gooi Hsiao-Leung,27364,47.4,PR,PKR,1873,Chor Chee Heung,BN,MCA,69009,61.0,34.0,5.0,,,,57712,83.6,1070,1.6
23,P010,Kuala Kedah,Kedah,Zaki Zamani Abd Rashid,37923,46.2,BN,UMNO,4947,Ahmad Kassim,PR,PKR,95328,78.0,21.0,1.0,,,,82005,86.0,1212,1.3
24,P010,Kuala Kedah,Kedah,Azman Ismail,42870,52.3,PR,PKR,4947,Ahmad Kassim,PR,PKR,95328,78.0,21.0,1.0,,,,82005,86.0,1212,1.3
25,P011,Pendang,Kedah,Mohamad Sabu,29527,47.3,PR,PAS,2638,Mohd Hayati Othman,PR,PAS,70135,88.0,6.0,,6.0,,,62451,89.0,759,1.1
26,P011,Pendang,Kedah,Othman Abdul,32165,51.5,BN,UMNO,2638,Mohd Hayati Othman,PR,PAS,70135,88.0,6.0,,6.0,,,62451,89.0,759,1.1
27,P012,Jerai,Kedah,Mohd Firdaus Jaafar,31233,48.3,PR,PAS,1196,Mohd Firdaus Jaafar,PR,PAS,74410,79.0,15.0,6.0,,,,64614,86.8,952,1.3
28,P012,Jerai,Kedah,Jamil Khir Baharom,32429,50.2,BN,UMNO,1196,Mohd Firdaus Jaafar,PR,PAS,74410,79.0,15.0,6.0,,,,64614,86.8,952,1.3
29,P013,Sik,Kedah,Che Uda Che Nik,19277,45.9,PR,PAS,2807,Che Uda Che Nik,PR,PAS,46786,93.0,2.0,,5.0,,,41992,89.8,631,1.3
30,P013,Sik,Kedah,Mansor Abd Rahman,22084,52.6,BN,UMNO,2807,Che Uda Che Nik,PR,PAS,46786,93.0,2.0,,5.0,,,41992,89.8,631,1.3
31,P014,Merbok,Kedah,Ismail Daut,38538,51.9,BN,UMNO,4122,Rashid Din,PR,PKR,85908,65.0,17.0,18.0,,,,74294,86.5,1340,1.5
32,P014,Merbok,Kedah,Nor Azrina Surip,34416,46.3,PR,PKR,4122,Rashid Din,PR,PKR,85908,65.0,17.0,18.0,,,,74294,86.5,1340,1.5
33,P015,Sungai Petani,Kedah,Ong Wei Sin,772,1.0,,IND,9548,Johari Abdul,PR,PKR,93176,59.0,29.0,12.0,,,,80771,86.7,959,1.0
34,P015,Sungai Petani,Kedah,Suhaimi Hashim,200,0.2,,KITA,9548,Johari Abdul,PR,PKR,93176,59.0,29.0,12.0,,,,80771,86.7,959,1.0
35,P015,Sungai Petani,Kedah,Syamsyul Anuar Che Mey @ Ismail,34646,42.9,BN,UMNO,9548,Johari Abdul,PR,PKR,93176,59.0,29.0,12.0,,,,80771,86.7,959,1.0
36,P015,Sungai Petani,Kedah,Johari Abdul,44194,54.7,PR,PKR,9548,Johari Abdul,PR,PKR,93176,59.0,29.0,12.0,,,,80771,86.7,959,1.0
37,P016,Baling,Kedah,Abdul Azeez Abdul Rahim,43504,52.5,BN,UMNO,5185,Taib Azamudden Md Taib,PR,PAS,93168,89.0,5.0,5.0,,,,82914,89.0,1091,1.2
38,P016,Baling,Kedah,Najmi Ahmad,38319,46.2,PR,PAS,5185,Taib Azamudden Md Taib,PR,PAS,93168,89.0,5.0,5.0,,,,82914,89.0,1091,1.2
39,P017,Padang Serai,Kedah,Othman Wawi,279,0.4,,IND,8437,Gobalakrishnan Nagapan,,IND,74095,56.0,23.0,21.0,,,,64387,86.9,1223,1.7
40,P017,Padang Serai,Kedah,Surendran Nagarajan,34151,53.0,PR,PKR,8437,Gobalakrishnan Nagapan,,IND,74095,56.0,23.0,21.0,,,,64387,86.9,1223,1.7
41,P017,Padang Serai,Kedah,Hamidi Abu Hassan,2630,4.1,,BERJASA,8437,Gobalakrishnan Nagapan,,IND,74095,56.0,23.0,21.0,,,,64387,86.9,1223,1.7
42,P017,Padang Serai,Kedah,Gobalakrishnan Nagapan,390,0.6,,IND,8437,Gobalakrishnan Nagapan,,IND,74095,56.0,23.0,21.0,,,,64387,86.9,1223,1.7
43,P017,Padang Serai,Kedah,Heng Seai Kie,25714,39.9,BN,MCA,8437,Gobalakrishnan Nagapan,,IND,74095,56.0,23.0,21.0,,,,64387,86.9,1223,1.7
44,P018,Kulim-Bandar Baharu,Kedah,Abd. Aziz Sheikh Fadzir,26782,51.0,BN,UMNO,1871,Zulkifli Nordin,,IND,60910,68.0,19.0,13.0,,,,52532,86.2,839,1.4
45,P018,Kulim-Bandar Baharu,Kedah,Saifuddin Nasution Ismail,24911,47.4,PR,PKR,1871,Zulkifli Nordin,,IND,60910,68.0,19.0,13.0,,,,52532,86.2,839,1.4
46,P019,Tumpat,Kelantan,Kamarudin Jaffar,46191,55.8,PR,PAS,10704,Kamarudin Jaffar,PR,PAS,98632,93.0,3.0,,4.0,,,82764,83.9,1086,1.1
47,P019,Tumpat,Kelantan,Mansor Salleh,35487,42.9,BN,UMNO,10704,Kamarudin Jaffar,PR,PAS,98632,93.0,3.0,,4.0,,,82764,83.9,1086,1.1
48,P020,Pengkalan Chepa,Kelantan,Dali Husin,19497,35.6,BN,UMNO,15120,Abdul Halim Abdul Rahman,PR,PAS,64409,98.0,2.0,,,,,54797,85.1,683,1.1
49,P020,Pengkalan Chepa,Kelantan,Izani Husin,34617,63.2,PR,PAS,15120,Abdul Halim Abdul Rahman,PR,PAS,64409,98.0,2.0,,,,,54797,85.1,683,1.1
50,P021,Kota Bharu,Kelantan,Takiyuddin Hassan,40620,61.5,PR,PAS,15970,Wan Abdul Rahim Wan Abdullah,PR,PAS,81268,83.0,16.0,1.0,,,,66084,81.3,666,0.8
51,P021,Kota Bharu,Kelantan,Mohd Zakiman Abu Bakar,148,0.2,,IND,15970,Wan Abdul Rahim Wan Abdullah,PR,PAS,81268,83.0,16.0,1.0,,,,66084,81.3,666,0.8
52,P021,Kota Bharu,Kelantan,Mohamad Fatmi Che Salleh,24650,37.3,BN,UMNO,15970,Wan Abdul Rahim Wan Abdullah,PR,PAS,81268,83.0,16.0,1.0,,,,66084,81.3,666,0.8
53,P022,Pasir Mas,Kelantan,Nik Mohamad Abduh Nik Abdul Aziz,33431,55.8,PR,PAS,8047,Ibrahim Ali,,IND,71965,97.0,3.0,,,,,59930,83.3,1115,1.5
54,P022,Pasir Mas,Kelantan,Ibrahim Ali,25384,42.4,,IND,8047,Ibrahim Ali,,IND,71965,97.0,3.0,,,,,59930,83.3,1115,1.5
55,P023,Rantau Panjang,Kelantan,Ghazali Ismail,17405,41.6,BN,UMNO,6362,Siti Zailah Mohd Yusoff,PR,PAS,52903,98.0,1.0,,1.0,,,41804,79.0,632,1.2
56,P023,Rantau Panjang,Kelantan,Siti Zailah Mohd Yusoff,23767,56.9,PR,PAS,6362,Siti Zailah Mohd Yusoff,PR,PAS,52903,98.0,1.0,,1.0,,,41804,79.0,632,1.2
57,P024,Kubang Kerian,Kelantan,Anuar Safian,18769,34.2,BN,UMNO,16741,Salahuddin Ayub,PR,PAS,65390,98.0,2.0,,,,,54884,83.9,605,0.9
58,P024,Kubang Kerian,Kelantan,Ahmad Baihaki Atiqullah,35510,64.7,PR,PAS,16741,Salahuddin Ayub,PR,PAS,65390,98.0,2.0,,,,,54884,83.9,605,0.9
59,P025,Bachok,Kelantan,Awang Adek Hussin,35218,49.2,BN,UMNO,201,Nasharudin Mat Isa,PR,PAS,81566,99.0,1.0,,,,,71584,87.8,947,1.2
60,P025,Bachok,Kelantan,Ahmad Marzuk Shaary,35419,49.5,PR,PAS,201,Nasharudin Mat Isa,PR,PAS,81566,99.0,1.0,,,,,71584,87.8,947,1.2
61,P026,Ketereh,Kelantan,Abdul Aziz Abdul Kadir,25938,48.3,PR,PKR,974,Abdul Aziz Abdul Kadir,PR,PKR,62217,97.0,2.0,,1.0,,,53726,86.4,876,1.4
62,P026,Ketereh,Kelantan,Annuar Musa,26912,50.1,BN,UMNO,974,Abdul Aziz Abdul Kadir,PR,PKR,62217,97.0,2.0,,1.0,,,53726,86.4,876,1.4
63,P027,Tanah Merah,Kelantan,Nik Mahmood Nik Hassan,22278,44.7,PR,PKR,4227,Amran Abdul Ghani,PR,PKR,58237,95.0,4.0,1.0,,,,49872,85.6,876,1.5
64,P027,Tanah Merah,Kelantan,Ikmal Hisham Abdul Aziz,26505,53.1,BN,UMNO,4227,Amran Abdul Ghani,PR,PKR,58237,95.0,4.0,1.0,,,,49872,85.6,876,1.5
65,P027,Tanah Merah,Kelantan,Ahmad Fizal Che Harun,213,0.4,,IND,4227,Amran Abdul Ghani,PR,PKR,58237,95.0,4.0,1.0,,,,49872,85.6,876,1.5
66,P028,Pasir Puteh,Kelantan,Tuan Mustaffa Tuan Mat,31691,48.0,BN,UMNO,1888,Muhammad Husin,PR,PAS,76259,98.0,1.0,,1.0,,,66040,86.6,770,1.0
67,P028,Pasir Puteh,Kelantan,Nik Mazian Nik Mohamad,33579,50.8,PR,PAS,1888,Muhammad Husin,PR,PAS,76259,98.0,1.0,,1.0,,,66040,86.6,770,1.0
68,P029,Machang,Kelantan,Wan Zawawi Wan Ismail,24855,48.5,PR,PKR,805,Saifuddin Nasution Ismail,PR,PKR,59226,96.0,4.0,,,,,51244,86.5,729,1.2
69,P029,Machang,Kelantan,Ahmad Jazlan Yaakub,25660,50.1,BN,UMNO,805,Saifuddin Nasution Ismail,PR,PKR,59226,96.0,4.0,,,,,51244,86.5,729,1.2
70,P030,Jeli,Kelantan,Mustapa Mohamed,21345,56.5,BN,UMNO,5336,Mustapa Mohamed,BN,UMNO,43224,99.0,,,1.0,,,37778,87.0,424,1.0
71,P030,Jeli,Kelantan,Mohd Apandi Mohamad,16009,42.4,PR,PAS,5336,Mustapa Mohamed,BN,UMNO,43224,99.0,,,1.0,,,37778,87.0,424,1.0
72,P031,Kuala Krai,Kelantan,Mohd Hatta Ramli,27919,51.2,PR,PAS,2043,Mohd Hatta Ramli,PR,PAS,63101,94.0,4.0,1.0,,,,54515,86.4,720,1.1
73,P031,Kuala Krai,Kelantan,Tuan Aziz Tuan Hamat,25876,47.5,BN,UMNO,2043,Mohd Hatta Ramli,PR,PAS,63101,94.0,4.0,1.0,,,,54515,86.4,720,1.1
74,P032,Gua Musang,Kelantan,Tengku Razaleigh Hamzah,21367,61.0,BN,UMNO,8413,Tengku Razaleigh Hamzah,BN,UMNO,40176,80.0,7.0,,12.0,,,35033,87.2,712,1.8
75,P032,Gua Musang,Kelantan,Wan Abdul Rahim Wan Abdullah,12954,37.0,PR,PAS,8413,Tengku Razaleigh Hamzah,BN,UMNO,40176,80.0,7.0,,12.0,,,35033,87.2,712,1.8
76,P033,Besut,Terengganu,Idris Jusoh,35232,56.1,BN,UMNO,8342,Abdullah Md Zin,BN,UMNO,72566,98.0,2.0,,,,,62763,86.5,641,0.9
77,P033,Besut,Terengganu,Riduan Mohamad Nor,26890,42.8,PR,PAS,8342,Abdullah Md Zin,BN,UMNO,72566,98.0,2.0,,,,,62763,86.5,641,0.9
78,P034,Setiu,Terengganu,Che Mohamad Zulkifly Jusoh,33198,56.1,BN,UMNO,7943,Mohd Jidin Shafee,BN,UMNO,67280,100.0,,,,,,59138,87.9,685,1.0
79,P034,Setiu,Terengganu,Omar Sidek,25255,42.7,PR,PAS,7943,Mohd Jidin Shafee,BN,UMNO,67280,100.0,,,,,,59138,87.9,685,1.0
80,P035,Kuala Nerus,Terengganu,Mohd Nasir Ibrahim Fikri,33251,49.0,BN,UMNO,610,Mohd Nasir Ibrahim Fikri,BN,UMNO,76238,99.0,1.0,,,,,67884,89.0,772,1.0
81,P035,Kuala Nerus,Terengganu,Mohd Khairuddin Aman Razali,33861,49.9,PR,PAS,610,Mohd Nasir Ibrahim Fikri,BN,UMNO,76238,99.0,1.0,,,,,67884,89.0,772,1.0
82,P036,Kuala Terengganu,Terengganu,Mohd Zubir Embong,35043,42.8,BN,UMNO,10785,Mohd Abdul Wahid Endut,PR,PAS,94406,89.0,10.0,1.0,,,,81898,86.8,845,0.9
83,P036,Kuala Terengganu,Terengganu,Maimun Yusuf,182,0.2,,IND,10785,Mohd Abdul Wahid Endut,PR,PAS,94406,89.0,10.0,1.0,,,,81898,86.8,845,0.9
84,P036,Kuala Terengganu,Terengganu,Raja Kamarul Bahrin Shah Raja Ahmad,45828,56.0,PR,PAS,10785,Mohd Abdul Wahid Endut,PR,PAS,94406,89.0,10.0,1.0,,,,81898,86.8,845,0.9
85,P037,Marang,Terengganu,Abdul Hadi Awang,42984,52.6,PR,PAS,5124,Abdul Hadi Awang,PR,PAS,90795,98.0,2.0,,,,,81649,89.9,805,0.9
86,P037,Marang,Terengganu,Yahya Khatib Mohamad,37860,46.4,BN,UMNO,5124,Abdul Hadi Awang,PR,PAS,90795,98.0,2.0,,,,,81649,89.9,805,0.9
87,P038,Hulu Terengganu,Terengganu,Jailani Johari,31940,56.5,BN,UMNO,8213,Mohd Nor Othman,BN,UMNO,63543,99.0,1.0,,,,,56490,88.9,823,1.3
88,P038,Hulu Terengganu,Terengganu,Kamaruzaman Abdullah,23727,42.0,PR,PAS,8213,Mohd Nor Othman,BN,UMNO,63543,99.0,1.0,,,,,56490,88.9,823,1.3
89,P039,Dungun,Terengganu,Wan Hassan Mohd Ramli,35348,51.9,PR,PAS,3942,Matulidi Jusoh,BN,UMNO,78174,96.0,4.0,,,,,68047,87.0,909,1.2
90,P039,Dungun,Terengganu,Mazlan Harun,384,0.6,,IND,3942,Matulidi Jusoh,BN,UMNO,78174,96.0,4.0,,,,,68047,87.0,909,1.2
91,P039,Dungun,Terengganu,Rosli Mat Hassan,31406,46.2,BN,UMNO,3942,Matulidi Jusoh,BN,UMNO,78174,96.0,4.0,,,,,68047,87.0,909,1.2
92,P040,Kemaman,Terengganu,Kamarudin Chik,33219,41.5,PR,PKR,12306,Ahmad Shabery Cheek,BN,UMNO,91942,93.0,6.0,1.0,,,,79971,87.0,1227,1.3
93,P040,Kemaman,Terengganu,Ahmad Shabery Cheek,45525,56.9,BN,UMNO,12306,Ahmad Shabery Cheek,BN,UMNO,91942,93.0,6.0,1.0,,,,79971,87.0,1227,1.3
94,P041,Kepala Batas,Penang,Afnan Hamimi Taib Azamudden,20952,44.9,PR,PAS,4176,Abdullah Ahmad Badawi,BN,UMNO,51635,76.0,19.0,4.0,,,,46665,90.4,585,1.1
95,P041,Kepala Batas,Penang,Reezal Merican Naina Merican,25128,53.8,BN,UMNO,4176,Abdullah Ahmad Badawi,BN,UMNO,51635,76.0,19.0,4.0,,,,46665,90.4,585,1.1
96,P042,Tasek Gelugor,Penang,Mohd Shariff Omar,1590,3.3,,IND,3042,Nor Mohamed Yakcop,BN,UMNO,54042,78.0,15.0,7.0,,,,48009,88.8,675,1.2
97,P042,Tasek Gelugor,Penang,Shabudin Yahaya,24393,50.8,BN,UMNO,3042,Nor Mohamed Yakcop,BN,UMNO,54042,78.0,15.0,7.0,,,,48009,88.8,675,1.2
98,P042,Tasek Gelugor,Penang,Abdul Rahman Maidin,21351,44.5,PR,PAS,3042,Nor Mohamed Yakcop,BN,UMNO,54042,78.0,15.0,7.0,,,,48009,88.8,675,1.2
99,P043,Bagan,Penang,Lim Kim Chu,328,0.5,,PCM,34159,Lim Guan Eng,PR,DAP,68503,15.0,70.0,15.0,,,,59735,87.2,634,0.9
100,P043,Bagan,Penang,Lim Guan Eng,46466,77.8,PR,DAP,34159,Lim Guan Eng,PR,DAP,68503,15.0,70.0,15.0,,,,59735,87.2,634,0.9
101,P043,Bagan,Penang,Chua Teik Siang,12307,20.6,BN,MCA,34159,Lim Guan Eng,PR,DAP,68503,15.0,70.0,15.0,,,,59735,87.2,634,0.9
102,P044,Permatang Pauh,Penang,Anwar Ibrahim,37090,58.6,PR,PKR,11721,Anwar Ibrahim,PR,PKR,71699,70.0,23.0,6.0,,,,63332,88.3,672,0.9
103,P044,Permatang Pauh,Penang,Abdullah Zawawi Samsudin,201,0.3,,IND,11721,Anwar Ibrahim,PR,PKR,71699,70.0,23.0,6.0,,,,63332,88.3,672,0.9
104,P044,Permatang Pauh,Penang,Mazlan Ismail,25369,40.1,BN,UMNO,11721,Anwar Ibrahim,PR,PKR,71699,70.0,23.0,6.0,,,,63332,88.3,672,0.9
105,P045,Bukit Mertajam,Penang,Gui Guat Lye,12814,18.5,BN,MCA,43063,Chong Eng,PR,DAP,78996,19.0,71.0,10.0,,,,69403,87.9,712,0.9
106,P045,Bukit Mertajam,Penang,Steven Sim Chee Kiong,55877,80.5,PR,DAP,43063,Chong Eng,PR,DAP,78996,19.0,71.0,10.0,,,,69403,87.9,712,0.9
107,P046,Batu Kawan,Penang,Huan Cheng Guan,1801,3.6,,PCM,25962,Ramasamy Palanisamy,PR,DAP,57500,21.0,56.0,23.0,,,,50139,87.2,723,1.3
108,P046,Batu Kawan,Penang,Mohan Apparoo,305,0.6,,IND,25962,Ramasamy Palanisamy,PR,DAP,57500,21.0,56.0,23.0,,,,50139,87.2,723,1.3
109,P046,Batu Kawan,Penang,Kasthuriraani Patto,36636,73.1,PR,DAP,25962,Ramasamy Palanisamy,PR,DAP,57500,21.0,56.0,23.0,,,,50139,87.2,723,1.3
110,P046,Batu Kawan,Penang,Gobalakrishnan Narayanasamy,10674,21.3,BN,Gerakan,25962,Ramasamy Palanisamy,PR,DAP,57500,21.0,56.0,23.0,,,,50139,87.2,723,1.3
111,P047,Nibong Tebal,Penang,Zainal Abidin Osman,21405,40.7,BN,UMNO,8598,Tan Tee Beng,,IND,59345,45.0,37.0,18.0,,,,52538,88.5,833,1.4
112,P047,Nibong Tebal,Penang,Mansor Othman,30003,57.1,PR,PKR,8598,Tan Tee Beng,,IND,59345,45.0,37.0,18.0,,,,52538,88.5,833,1.4
113,P047,Nibong Tebal,Penang,Teng Kok Pheng,297,0.6,,IND,8598,Tan Tee Beng,,IND,59345,45.0,37.0,18.0,,,,52538,88.5,833,1.4
114,P048,Bukit Bendera,Penang,Teh Leong Meng,12813,21.7,BN,Gerakan,32778,Liew Chin Tong,PR,DAP,71085,14.0,74.0,11.0,,,,59019,83.0,615,0.9
115,P048,Bukit Bendera,Penang,Zairil Khir Johari,45591,77.2,PR,DAP,32778,Liew Chin Tong,PR,DAP,71085,14.0,74.0,11.0,,,,59019,83.0,615,0.9
116,P049,Tanjong,Penang,Ng Song Kheng,6865,16.0,BN,Gerakan,28645,Chow Kon Yeow,PR,DAP,51487,5.0,86.0,9.0,,,,42870,83.3,495,1.0
117,P049,Tanjong,Penang,Ng Wei Aik,35510,82.8,PR,DAP,28645,Chow Kon Yeow,PR,DAP,51487,5.0,86.0,9.0,,,,42870,83.3,495,1.0
118,P050,Jelutong,Penang,Jeff Ooi Chuan Aun,43211,70.3,PR,DAP,25750,Jeff Ooi Chuan Aun,PR,DAP,71247,22.0,67.0,11.0,,,,61441,86.2,769,1.1
119,P050,Jelutong,Penang,Ng Fook On,17461,28.4,BN,Gerakan,25750,Jeff Ooi Chuan Aun,PR,DAP,71247,22.0,67.0,11.0,,,,61441,86.2,769,1.1
120,P051,Bukit Gelugor,Penang,Teh Beng Yeam,13597,19.3,BN,MCA,42706,Karpal Singh Ram Singh,PR,DAP,81897,14.0,75.0,10.0,,,,70554,86.1,654,0.8
121,P051,Bukit Gelugor,Penang,Karpal Singh Ram Singh,56303,80.1,PR,DAP,42706,Karpal Singh Ram Singh,PR,DAP,81897,14.0,75.0,10.0,,,,70554,86.1,654,0.8
122,P052,Bayan Baru,Penang,Sim Tze Tzin,43558,63.4,PR,PKR,19307,Zahrain Mohamed Hashim,,IND,79155,39.0,49.0,11.0,,,,68659,86.7,850,1.1
123,P052,Bayan Baru,Penang,Tang Heap Seng,24251,35.3,BN,MCA,19307,Zahrain Mohamed Hashim,,IND,79155,39.0,49.0,11.0,,,,68659,86.7,850,1.1
124,P053,Balik Pulau,Penang,Hilmi Yahaya,22318,51.1,BN,UMNO,1539,Mohd Yusmadi Mohd Yusoff,PR,PKR,49641,64.0,32.0,4.0,,,,43709,88.1,612,1.2
125,P053,Balik Pulau,Penang,Muhammad Bakhtiar Wan Chik,20779,47.5,PR,PKR,1539,Mohd Yusmadi Mohd Yusoff,PR,PKR,49641,64.0,32.0,4.0,,,,43709,88.1,612,1.2
126,P054,Gerik,Perak,Norhayati Kasim,10199,37.6,PR,PAS,6216,Tan Lian Hoe,BN,Gerakan,32725,68.0,16.0,,13.0,,,27108,82.8,494,1.5
127,P054,Gerik,Perak,Hasbullah Osman,16415,60.6,BN,UMNO,6216,Tan Lian Hoe,BN,Gerakan,32725,68.0,16.0,,13.0,,,27108,82.8,494,1.5
128,P055,Lenggong,Perak,Shamsul Anuar Nasarah,13639,58.1,BN,UMNO,4161,Shamsul Anuar Nasarah,BN,UMNO,27950,82.0,14.0,,2.0,,,23485,84.0,368,1.3
129,P055,Lenggong,Perak,Razman Zakaria,9478,40.4,PR,PAS,4161,Shamsul Anuar Nasarah,BN,UMNO,27950,82.0,14.0,,2.0,,,23485,84.0,368,1.3
130,P056,Larut,Perak,Raveendran M. Vallikana,278,0.7,,IND,5296,Hamzah Zainudin,BN,UMNO,46577,89.0,5.0,6.0,,,,39929,85.7,579,1.2
131,P056,Larut,Perak,Hamzah Zainudin,22184,55.6,BN,UMNO,5296,Hamzah Zainudin,BN,UMNO,46577,89.0,5.0,6.0,,,,39929,85.7,579,1.2
132,P056,Larut,Perak,Mohd Fauzi Sa'ari,16888,42.3,PR,PAS,5296,Hamzah Zainudin,BN,UMNO,46577,89.0,5.0,6.0,,,,39929,85.7,579,1.2
133,P057,Parit Buntar,Perak,Mua'amar Ghadafi Jamal Jamaludin,17539,39.7,BN,UMNO,8476,Mujahid Yusof Rawa,PR,PAS,51422,68.0,27.0,5.0,,,,44172,85.9,618,1.2
134,P057,Parit Buntar,Perak,Mujahid Yusof Rawa,26015,58.9,PR,PAS,8476,Mujahid Yusof Rawa,PR,PAS,51422,68.0,27.0,5.0,,,,44172,85.9,618,1.2
135,P058,Bagan Serai,Perak,Abdul Latif Masud,329,0.7,,IND,1140,Mohsin Fadzli Samsuri,,IND,54792,76.0,14.0,10.0,,,,46313,84.5,1096,2.0
136,P058,Bagan Serai,Perak,Mohd Nor Monutty,21874,47.2,PR,PKR,1140,Mohsin Fadzli Samsuri,,IND,54792,76.0,14.0,10.0,,,,46313,84.5,1096,2.0
137,P058,Bagan Serai,Perak,Noor Azmi Ghazali,23014,49.7,BN,UMNO,1140,Mohsin Fadzli Samsuri,,IND,54792,76.0,14.0,10.0,,,,46313,84.5,1096,2.0
138,P059,Bukit Gantang,Perak,Ismail Saffian,29577,48.6,BN,UMNO,986,Mohammad Nizar Jamaluddin,PR,PAS,71257,65.0,25.0,10.0,,,,60888,85.4,748,1.0
139,P059,Bukit Gantang,Perak,Idris Ahmad ,30563,50.2,PR,PAS,986,Mohammad Nizar Jamaluddin,PR,PAS,71257,65.0,25.0,10.0,,,,60888,85.4,748,1.0
140,P060,Taiping,Perak,Nga Kor Ming,37275,58.5,PR,DAP,11745,Nga Kor Ming,PR,DAP,78148,37.0,48.0,13.0,,,,63749,81.6,944,1.2
141,P060,Taiping,Perak,Tan Lian Hoe,25530,40.0,BN,Gerakan,11745,Nga Kor Ming,PR,DAP,78148,37.0,48.0,13.0,,,,63749,81.6,944,1.2
